recoverability_pair,condition_stage,target_stage,pre_stage,post_stage,complexity_direction,direction_note,subject_id,group_id,channel,start_idx,window_size,pe_pre,pe_post,delta_pe,sampen_pre,sampen_post,delta_sampen
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_TIBANT,512,1024,0.8312143889817006,0.8141903062926599,0.017024082689040765,0.822670551786929,0.9050692071301907,-0.08239865534326163
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_GLUT_MED,512,1024,0.7641158612874628,0.7363789106721305,0.027736950615332323,0.43504741791326845,0.5079975675824733,-0.07295014966920482
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_GLUT_MED,512,1024,0.800503564778257,0.7888796794950543,0.011623885283202684,0.7710123163545017,1.0889236315643602,-0.3179113152098585
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_SEMITEND,512,1024,0.7590193433347636,0.7550213103196445,0.00399803301511914,0.47253991354179115,0.5872210540273115,-0.11468114048552036
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_SEMITEND,512,1024,0.6615180379550396,0.65094556210286,0.010572475852179575,0.3424776088407299,0.3754961616268148,-0.0330185527860849
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_BICEPS_FEM,512,1024,0.8112005398829966,0.7818933036165501,0.02930723626644649,0.9123795339743715,1.1038708459215767,-0.19149131194720515
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_BICEPS_FEM,512,1024,0.7028490125305411,0.7103607240983342,-0.007511711567793067,0.3912030693782725,0.36119929979311954,0.03000376958515294
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_MED_GASTRO,512,1024,0.8157736438977586,0.7235173293554418,0.09225631454231686,0.19266150822739123,0.3428295371166793,-0.15016802888928807
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_MED_GASTRO,512,1024,0.845428800398802,0.8433789727246119,0.002049827674190041,0.5042089817360904,0.6114175059894914,-0.107208524253401
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,RT_RECTUS_FEM,0,1024,0.8150652407233813,0.7887421353180738,0.026323105405307468,0.8400503101503571,0.8572670044838695,-0.01721669433351236
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,LT_RECTUS_FEM,0,1024,0.7974298345588356,0.772039269925687,0.025390564633148593,0.838754244301604,0.860804063949653,-0.022049819648049085
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,RT_ADDUCTORS,0,1024,0.6969022270594489,0.6650623626560191,0.031839864403429785,0.5464007402984401,0.5093074048508859,0.03709333544755422
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,LT_ADDUCTORS,0,1024,0.6652655688817222,0.6190187879703272,0.046246780911395,0.3962661690728549,0.3917027788319776,0.004563390240877263
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,RT_VMO,0,1024,0.7794261765530087,0.7335974132820011,0.0458287632710076,0.35472556800759947,0.5380251553430552,-0.1832995873354557
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,LT_VMO,0,1024,0.7729991015488907,0.7365847384655438,0.03641436308334689,0.2876820724517809,0.3443723621901712,-0.0566902897383903
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,RT_TIBANT,0,1024,0.8154360293476132,0.7965641850712364,0.01887184427637678,0.6214617740485424,1.0067163858829968,-0.3852546118344544
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,LT_TIBANT,0,1024,0.8386032279967156,0.822590213610442,0.01601301438627356,0.6245790277032899,0.8185117536687265,-0.19393272596543665
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,RT_GLUT_MED,0,1024,0.7559187563730559,0.7129171027225465,0.04300165365050945,0.6922039325730157,0.7635637494817075,-0.07135981690869175
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,LT_GLUT_MED,0,1024,0.8165881233285975,0.7738698703965592,0.04271825293203835,0.5985628783215826,0.6988866261985612,-0.10032374787697862
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,RT_SEMITEND,0,1024,0.7696936158786105,0.7668195592569969,0.002874056621613663,0.27999432638016897,0.31673338280166596,-0.036739056421496996
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,LT_SEMITEND,0,1024,0.6919876409494935,0.6790526980773223,0.012934942872171229,0.7186232038756308,0.7286481126106946,-0.010024908735063787
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,RT_BICEPS_FEM,0,1024,0.8056129648740017,0.7647442218575882,0.04086874301641352,0.3574785186718059,0.4431387805335797,-0.08566026186177378
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,LT_BICEPS_FEM,0,1024,0.7369343700697815,0.7030870281792051,0.033847341890576366,0.6516271753417583,0.5968160716215132,0.05481110372024511
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,RT_MED_GASTRO,0,1024,0.7850697162269311,0.7624904583460675,0.022579257880863568,0.7414610408384958,0.7831018636578452,-0.04164082281934933
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_11,LT_MED_GASTRO,0,1024,0.8583793308038866,0.8353727063210549,0.02300662448283175,0.508357557276202,0.503508276768558,0.004849280507643994
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_RECTUS_FEM,0,1024,0.796645141068136,0.7724423931728546,0.02420274789528143,0.9016619582308313,1.008596533479749,-0.10693457524891781
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_RECTUS_FEM,0,1024,0.7841961404591902,0.7691362847121489,0.015059855747041273,0.8196638961850834,0.792504949680146,0.027158946504937442
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_ADDUCTORS,0,1024,0.7192970683479993,0.667484246512108,0.05181282183589131,0.29921666190427193,0.31061199742333506,-0.011395335519063132
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_ADDUCTORS,0,1024,0.6593698890494993,0.6181890257519,0.04118086329759929,0.675486677407995,0.7244404771816688,-0.04895379977367387
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_VMO,0,1024,0.7902442803208717,0.7414816560649606,0.04876262425591105,0.2868752954818409,0.26682110883434695,0.02005418664749392
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_VMO,0,1024,0.7792016080616351,0.7548354518956082,0.024366156166026887,0.26704776831745464,0.3434034586382698,-0.07635569032081518
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_TIBANT,0,1024,0.8160056268459277,0.7921875151237997,0.023818111722128,0.866418901833982,1.2375637487619715,-0.37114484692798955
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_TIBANT,0,1024,0.8302095874314478,0.8110623623511883,0.019147225080259456,0.5621068771418554,0.6777885168812475,-0.11568163973939216
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_GLUT_MED,0,1024,0.752674786633082,0.7345888853198221,0.018085901313259822,0.8965856607948227,1.0939211150922297,-0.19733545429740695
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_GLUT_MED,0,1024,0.7845820581946266,0.762117925536309,0.022464132658317593,0.5114242469505835,0.5251494240447825,-0.01372517709419896
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_SEMITEND,0,1024,0.7138002104597763,0.7409613037533468,-0.027161093293570526,0.6041358029036484,0.7402419501441324,-0.13610614724048398
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_SEMITEND,0,1024,0.649679596364389,0.6434214162885401,0.006258180075848885,0.6717761597983821,0.6460004021342433,0.025775757664138865
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_BICEPS_FEM,0,1024,0.8071917598432574,0.7772329521798511,0.029958807663406306,1.04072223121047,1.132950426249001,-0.09222819503853108
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_BICEPS_FEM,0,1024,0.7434686573846017,0.7296490299154382,0.013819627469163431,0.44553382411944453,0.5028415494177702,-0.05730772529832562
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_MED_GASTRO,0,1024,0.7970794934836497,0.7602531508887208,0.036826342594928896,0.6221581193165817,0.8589864091209026,-0.2368282898043209
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_MED_GASTRO,0,1024,0.8450123028128977,0.8230845543947576,0.02192774841814016,0.3547052056351158,0.4101669761420428,-0.055461770506926966
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_RECTUS_FEM,512,1024,0.8144478592815114,0.7771439422618269,0.037303917019684496,1.1018354985496783,1.3054992645763113,-0.20366376602663294
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_RECTUS_FEM,512,1024,0.8073505669677544,0.7706784061919775,0.03667216077577695,1.1375488503667548,1.420052841044845,-0.2825039906780902
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_ADDUCTORS,512,1024,0.7434453301759755,0.6920265134455597,0.05141881673041582,0.5533428212689143,0.553320153085997,2.2668182917295887e-05
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,LT_ADDUCTORS,512,1024,0.6796505782045681,0.6495139463827456,0.030136631821822468,0.7867297469198924,0.885068307491177,-0.09833856057128465
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_12,RT_VMO,512,1024,0.8350796004824705,0.7672356031241752,0.06784399735829538,0.26112056915068266,0.4355720941017271,-0.17445152495104443
